num,best,mean,median,l25
1,0,0,0,0
2,1,1,1,0
3,1,1,0,0
4,1,1,0,0
5,1,1,0,0
6,1,1,0,0
7,1,1,0,1
8,2,1,1,1
9,2,2,1,1
10,2,2,1,1
11,3,2,3,1
12,3,2,2,1
13,3,2,1,2
14,4,3,1,2
15,4,2,2,2
16,4,3,2,2
17,5,3,2,2
18,5,3,3,3
19,6,3,2,2
20,5,3,2,2
21,6,4,4,2
22,7,4,3,2
23,8,4,5,3
24,7,3,4,3
25,8,4,3,3
26,8,4,7,3
27,8,4,4,4
28,9,5,3,3
29,9,5,5,3
30,10,5,4,3
31,9,4,8,4
32,9,5,5,4
33,10,5,4,3
34,12,6,8,6
35,9,5,5,4
36,12,6,4,4
37,13,6,7,4
38,12,5,5,5
39,10,6,8,5
40,13,6,7,7
