num,best,mean,median,l25
1,0,0,0,0
2,0,0,0,0
3,2,1,0,0
4,1,1,1,1
5,1,1,1,1
6,2,1,1,1
7,2,2,1,1
8,3,2,1,1
9,3,2,2,1
10,3,2,2,2
11,3,2,2,2
12,4,2,2,2
13,5,3,2,3
14,5,3,3,2
15,5,3,3,2
16,6,3,3,2
17,5,3,3,3
18,6,3,4,3
19,7,3,4,3
20,6,3,4,3
21,7,4,4,4
22,7,3,5,5
23,9,4,5,5
24,9,3,5,5
25,9,5,5,5
26,9,4,5,3
27,10,4,6,3
28,10,4,6,4
29,11,4,6,4
30,10,4,6,4
31,11,4,7,4
32,12,5,7,5
33,11,4,7,5
34,13,4,7,5
35,13,5,7,5
36,12,5,7,5
37,14,4,8,6
38,12,5,8,6
39,15,5,8,6
40,15,6,8,6
